owner_family_name,building_functions
abendana,"['casa', 'casa', 'casa', 'casa']"
abis,"['casa', 'casa', 'casa', 'casa']"
accerboni,"['bottega', ' casa']"
acciajoli,"['appartamento', 'bottega', ' magazzeno']"
acenti,"['casa', ' corto', 'casa', ' corto', 'casa', ' corto']"
acerbi,"['bottega', ' casa', 'magazzeno', 'casa', 'casa']"
acerboni,"['bottega', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'casa', ' casetta', ' corto', 'casa']"
acqua,['casa']
acquisti,"['bottega', ' casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'magazzeno', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'casa', 'casa']"
adami,"['bottega', ' casa', 'casa']"
aeiajoli,['magazzeno']
agazi,"['bottega', ' casa', ' corto', 'bottega', ' casa', ' corto', 'bottega', ' casa', ' corto']"
agazzi lazzari,"['casa', ' corto']"
aglina,['casa']
agnelleti,"['casa', ' corto']"
agostinazzi,['casa']
agostini,"['casa', 'casa']"
albengo,"['casa', 'casa', 'bottega', ' casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'casa']"
alberghetti,"['casa', ' corto', ' luogo', 'casa', ' corto', ' luogo', 'casa', ' corto', ' luogo', 'casa', 'bottega', ' casa', 'casa', 'bottega', ' casa']"
albergoni,"['casa', 'casa']"
albergoni mengoto,"['casa', 'casa', 'casa']"
alberti,"['casa', 'casa', 'casa', 'casa', ' corto', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', ' forno', 'andito', 'bottega', ' magazzeno']"
albertini,"['bottega', ' corto', 'bottega', ' corto']"
albini,"['casa', ' corto', ' magazzeno']"
